date,day,dayType,dtDesc
1431734400,Sat,5,Saturday
1431820800,Sun,6,Sunday
1431907200,Mon,0,First working day of normal week
1431993600,Tues,1,Normal working Tuesday
143208e4,Wed,2,Normal working Wednesday
1432166400,Thurs,3,Normal working Thursday
1432252800,Fri,4,Last working day of normal week
1432339200,Sat,5,Saturday
1432425600,Sun,6,Sunday
1432512e3,Mon,0,First working day of normal week
1432598400,Tues,1,Normal working Tuesday
1432684800,Wed,2,Normal working Wednesday
1432771200,Thurs,3,Normal working Thursday
1432857600,Fri,4,Last working day of normal week
1432944e3,Sat,5,Saturday
1433030400,Sun,6,Sunday
1433116800,Mon,12,Bank Holidays including Good Friday
1433203200,Tues,0,First working day of normal week
1433289600,Wed,2,Normal working Wednesday
1433376e3,Thurs,3,Normal working Thursday
1433462400,Fri,4,Last working day of normal week
1433548800,Sat,5,Saturday
1433635200,Sun,6,Sunday
1433721600,Mon,0,First working day of normal week
1433808e3,Tues,1,Normal working Tuesday
1433894400,Wed,2,Normal working Wednesday
1433980800,Thurs,3,Normal working Thursday
1434067200,Fri,4,Last working day of normal week
1434153600,Sat,5,Saturday
143424e4,Sun,6,Sunday
1434326400,Mon,0,First working day of normal week
1434412800,Tues,1,Normal working Tuesday
1434499200,Wed,2,Normal working Wednesday
1434585600,Thurs,3,Normal working Thursday
1434672e3,Fri,4,Last working day of normal week
1434758400,Sat,5,Saturday
1434844800,Sun,6,Sunday
1434931200,Mon,0,First working day of normal week
1435017600,Tues,1,Normal working Tuesday
1435104e3,Wed,2,Normal working Wednesday
1435190400,Thurs,3,Normal working Thursday
1435276800,Fri,4,Last working day of normal week
1435363200,Sat,5,Saturday
1435449600,Sun,6,Sunday
1435536e3,Mon,0,First working day of normal week
1435622400,Tues,1,Normal working Tuesday
1435708800,Wed,9,Middle of week - school holiday
1435795200,Thurs,9,Middle of week - school holiday
1435881600,Fri,11,Last day of week - school holiday
1435968e3,Sat,5,Saturday
1436054400,Sun,6,Sunday
1436140800,Mon,7,First day of week - school holiday
1436227200,Tues,9,Middle of week - school holiday
1436313600,Wed,9,Middle of week - school holiday
14364e5,Thurs,9,Middle of week - school holiday
1436486400,Fri,11,Last day of week - school holiday
1436572800,Sat,5,Saturday
1436659200,Sun,6,Sunday
